City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
200,Kemijarvi,FI,66.7131,27.4306,3.58,92,100,7.31,overcast clouds
201,Lompoc,US,34.6391,-120.4579,64.02,61,75,13.8,broken clouds
202,Santa Maria,BR,-29.6842,-53.8069,78.1,50,0,9.22,clear sky
203,Kumano,JP,34.3442,132.5894,36.77,69,11,4.34,few clouds
204,Seoul,KR,37.5683,126.9778,26.04,89,0,3.44,dust
205,Mahajanga,MG,-15.7167,46.3167,78.82,89,40,2.3,light rain
206,Buin,CL,-33.7333,-70.75,83.05,53,1,5.3,clear sky
207,Linqiong,CN,30.4159,103.4609,48.02,84,0,1.34,clear sky
208,Ola,RU,59.5833,151.2833,-2.87,81,99,6.4,overcast clouds
209,Coquimbo,CL,-29.9533,-71.3436,67.73,77,0,10.36,clear sky
210,Nouakchott,MR,18.0858,-15.9785,71.53,30,100,12.03,overcast clouds
211,Ambilobe,MG,-13.2,49.05,72.16,93,86,2.82,overcast clouds
212,Prieska,ZA,-29.6641,22.7474,70.34,30,0,5.91,clear sky
213,Sobolevo,RU,54.4299,31.8996,4.08,91,99,5.32,overcast clouds
214,Noumea,NC,-22.2763,166.4572,84.18,99,98,4.25,overcast clouds
215,Urusha,RU,54.05,122.9,-23.1,99,80,2.64,broken clouds
216,Bathsheba,BB,13.2167,-59.5167,79.41,89,40,18.41,light intensity shower rain
217,Cumberland,US,35.0502,-78.8664,50.22,70,0,0.0,clear sky
218,Aberdeen,GB,57.1437,-2.0981,44.2,87,40,20.71,scattered clouds
219,Shushtar,IR,32.0455,48.8567,51.3,66,0,0.34,clear sky
220,Filadelfia,US,39.9523,-75.1638,44.62,66,100,11.5,overcast clouds
221,Vila Velha,BR,-20.3297,-40.2925,73.35,96,75,6.91,broken clouds
222,Nazret,ET,8.55,39.2667,58.68,66,18,4.47,few clouds
223,Vaitape,PF,-16.5167,-151.75,81.64,64,38,2.3,scattered clouds
224,Irbeyskoye,RU,55.6428,95.4522,10.58,96,99,3.96,overcast clouds
225,Mizdah,LY,31.4451,12.9801,47.07,89,8,10.07,clear sky
226,Maneadero,MX,31.7167,-116.5667,64.09,70,31,4.0,scattered clouds
227,Luderitz,NA,-26.6481,15.1594,68.07,56,1,5.06,clear sky
228,Lavrentiya,RU,65.5833,-171.0,-5.89,97,67,5.32,broken clouds
229,Tabas,IR,33.5959,56.9244,41.22,65,1,0.0,clear sky
230,Zemio,CF,5.0314,25.1361,68.29,37,91,2.82,overcast clouds
231,Kruisfontein,ZA,-34.0033,24.7314,65.88,85,38,5.37,scattered clouds
232,Ossora,RU,59.2353,163.0719,-9.0,83,50,4.81,scattered clouds
233,Springbok,ZA,-29.6643,17.8865,68.7,28,0,6.6,clear sky
234,Tilichiki,RU,60.4667,166.1,-21.64,94,56,10.83,broken clouds
235,Baracoa,CU,20.3467,-74.4958,75.34,85,25,7.9,scattered clouds
236,Frankenberg,DE,51.0667,8.8,46.71,88,100,8.99,overcast clouds
