City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Kudahuvadhoo,MV,2022-12-31 23:31:55,2.6708,72.8944,81.09,72,28,15.73
251,Coahuayana,MX,2022-12-31 23:31:56,18.7333,-103.6833,78.49,64,1,3.53
252,East London,ZA,2022-12-31 23:31:56,-33.0153,27.9116,66.31,82,57,10.65
253,Ostrovnoy,RU,2022-12-31 23:31:56,68.0531,39.5131,19.2,89,95,23.02
254,Vila Do Maio,CV,2022-12-31 23:31:57,15.1333,-23.2167,72.39,75,27,10.25
255,Grindavik,IS,2022-12-31 23:31:57,63.8424,-22.4338,30.67,80,75,6.91
256,Saint George,US,2022-12-31 23:28:42,37.1041,-113.5841,45.19,93,100,0.0
257,Senanga,ZM,2022-12-31 23:31:57,-16.1167,23.2667,66.58,92,92,5.01
258,Hami,CN,2022-12-31 23:31:58,42.8,93.45,17.31,57,88,2.28
259,Te Anau,NZ,2022-12-31 23:31:58,-45.4167,167.7167,67.82,51,100,1.83
260,Paka,MY,2022-12-31 23:31:59,4.6374,103.4368,73.33,94,40,0.0
261,Keetmanshoop,NA,2022-12-31 23:31:59,-26.5833,18.1333,81.95,14,16,10.8
262,Arlit,NE,2022-12-31 23:31:59,18.7369,7.3853,58.32,23,17,6.31
263,Benicarlo,ES,2022-12-31 23:31:37,40.4165,0.4271,53.24,72,21,0.65
264,Vao,NC,2022-12-31 23:32:00,-22.6667,167.4833,77.18,80,39,20.67
265,Ponta Delgada,PT,2022-12-31 23:32:00,37.7333,-25.6667,50.72,71,40,9.22
266,Inta,RU,2022-12-31 23:32:00,66.0317,60.1659,-23.37,97,6,2.42
267,Tilichiki,RU,2022-12-31 23:32:00,60.4667,166.1,-19.05,96,83,9.15
268,Kapra,IN,2022-12-31 23:32:01,17.4846,78.561,66.9,61,67,2.95
269,Skibbereen,IE,2022-12-31 23:32:01,51.55,-9.2667,44.11,83,86,17.98
270,Baruun-Urt,MN,2022-12-31 23:32:02,46.6806,113.2792,-10.46,92,5,6.4
271,La Ronge,CA,2022-12-31 23:32:02,55.1001,-105.2842,8.85,78,100,4.61
272,Kodinsk,RU,2022-12-31 23:32:02,58.6881,99.1844,-30.14,100,8,2.8
273,Upata,VE,2022-12-31 23:32:03,8.0086,-62.3989,72.19,96,24,3.65
274,Saint-Philippe,RE,2022-12-31 23:32:03,-21.3585,55.7679,74.79,80,30,3.09
275,Vrangel,RU,2022-12-31 23:33:03,42.7297,133.0839,16.86,63,1,13.18
276,Severo-Kurilsk,RU,2022-12-31 23:33:04,50.6789,156.125,27.34,72,98,7.38
277,Pandamatenga,BW,2022-12-31 23:33:04,-18.5278,25.627,66.07,88,81,8.41
278,Puro,PH,2022-12-31 23:33:04,12.4841,123.3827,79.16,86,75,7.4
279,Tonekabon,IR,2022-12-31 23:33:05,36.8163,50.8738,50.61,70,2,1.83
280,Chiang Khong,TH,2022-12-31 23:33:05,20.2613,100.4046,58.1,95,42,1.45
281,Vostok,RU,2022-12-31 23:33:06,46.4856,135.8833,-7.22,98,92,5.19
282,Kuala Terengganu,MY,2022-12-31 23:33:06,5.3302,103.1408,73.35,94,20,1.14
283,Roald,NO,2022-12-31 23:33:07,62.5833,6.1333,37.76,64,75,13.8
284,Itaituba,BR,2022-12-31 23:33:07,-4.2761,-55.9836,73.72,99,79,1.79
285,Hamilton,US,2022-12-31 23:30:40,39.1834,-84.5333,49.71,87,100,8.05
286,Pevek,RU,2022-12-31 23:33:08,69.7008,170.3133,-36.49,99,40,1.52
287,Oistins,BB,2022-12-31 23:30:30,13.0667,-59.5333,78.89,73,20,18.41
288,Sidi Ali,DZ,2022-12-31 23:33:08,36.0998,0.4206,57.31,41,79,3.98
289,Nueva Loja,EC,2022-12-31 23:33:09,0.0847,-76.8828,74.64,84,81,1.99
290,Chornyanka,UA,2022-12-31 23:33:09,46.6522,33.359,41.79,86,69,7.23
291,Hatillo,PR,2022-12-31 23:33:10,18.4863,-66.8254,79.11,81,2,5.99
